TPXC30 Index,,,7203 JT Equity,,,7267 JT Equity,,,6758 JT Equity,,,7201 JT Equity,,,6752 JT Equity,,,6902 JT Equity,,,9984 JT Equity,,,9432 JT Equity,,,9433 JT Equity,,,9437 JT Equity,,,8306 JT Equity,,,8316 JT Equity,,,8411 JT Equity,,,8766 JT Equity,,,8604 JT Equity,,,6954 JT Equity,,,9020 JT Equity,,,8058 JT Equity,,,9022 JT Equity,,,8031 JT Equity,,,2914 JT Equity,,,3382 JT Equity,,,7751 JT Equity,,,6981 JT Equity,,,6501 JT Equity,,,4502 JT Equity,,,4503 JT Equity,,,8802 JT Equity,,,8801 JT Equity,,,4063 JT Equity,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
2013/10/7,618.75,,2013/10/7,6090,,2013/10/7,3695,,2013/10/7,1980,,2013/10/7,964,,2013/10/7,910,,2013/10/7,4580,,2013/10/7,7480,,2013/10/7,2560,,2013/10/7,1720,,2013/10/7,1542,,2013/10/7,605,,2013/10/7,4615,,2013/10/7,205,,2013/10/7,2998,,2013/10/7,714,,2013/10/7,15410,,2013/10/7,8230,,2013/10/7,1904,,2013/10/7,12470,,2013/10/7,1368,,2013/10/7,3450,,2013/10/7,3475,,2013/10/7,3100,,2013/10/7,7340,,2013/10/7,625,,2013/10/7,4510,,2013/10/7,952,,2013/10/7,2677,,2013/10/7,3140,,2013/10/7,5520
2013/10/8,617.95,,2013/10/8,6050,,2013/10/8,3720,,2013/10/8,1923,,2013/10/8,956,,2013/10/8,916,,2013/10/8,4605,,2013/10/8,7420,,2013/10/8,2530,,2013/10/8,1743.3,,2013/10/8,1518,,2013/10/8,609,,2013/10/8,4680,,2013/10/8,206,,2013/10/8,3005,,2013/10/8,722,,2013/10/8,15330,,2013/10/8,8190,,2013/10/8,1908,,2013/10/8,12480,,2013/10/8,1372,,2013/10/8,3400,,2013/10/8,3485,,2013/10/8,3075,,2013/10/8,7270,,2013/10/8,625,,2013/10/8,4485,,2013/10/8,956,,2013/10/8,2697,,2013/10/8,3165,,2013/10/8,5580
2013/10/9,625.6,,2013/10/9,6230,,2013/10/9,3790,,2013/10/9,1929,,2013/10/9,971,,2013/10/9,931,,2013/10/9,4715,,2013/10/9,7000,,2013/10/9,2555,,2013/10/9,1760,,2013/10/9,1539,,2013/10/9,622,,2013/10/9,4765,,2013/10/9,204,,2013/10/9,3070,,2013/10/9,738,,2013/10/9,15690,,2013/10/9,8310,,2013/10/9,1937,,2013/10/9,12730,,2013/10/9,1405,,2013/10/9,3420,,2013/10/9,3520,,2013/10/9,3105,,2013/10/9,7400,,2013/10/9,630,,2013/10/9,4545,,2013/10/9,955,,2013/10/9,2800,,2013/10/9,3300,,2013/10/9,5680
2013/10/10,632.55,,2013/10/10,6350,,2013/10/10,3885,,2013/10/10,1899,,2013/10/10,996,,2013/10/10,929,,2013/10/10,4750,,2013/10/10,7070,,2013/10/10,2600,,2013/10/10,1756.7,,2013/10/10,1565,,2013/10/10,621,,2013/10/10,4765,,2013/10/10,203,,2013/10/10,3105,,2013/10/10,747,,2013/10/10,16010,,2013/10/10,8330,,2013/10/10,1971,,2013/10/10,12900,,2013/10/10,1419,,2013/10/10,3475,,2013/10/10,3640,,2013/10/10,3125,,2013/10/10,7340,,2013/10/10,622,,2013/10/10,4695,,2013/10/10,994,,2013/10/10,2823,,2013/10/10,3360,,2013/10/10,5780
2013/10/11,641.32,,2013/10/11,6410,,2013/10/11,3915,,2013/10/11,1919,,2013/10/11,1009,,2013/10/11,955,,2013/10/11,4830,,2013/10/11,7230,,2013/10/11,2645,,2013/10/11,1750,,2013/10/11,1571,,2013/10/11,636,,2013/10/11,4850,,2013/10/11,207,,2013/10/11,3130,,2013/10/11,758,,2013/10/11,16730,,2013/10/11,8530,,2013/10/11,2006,,2013/10/11,13130,,2013/10/11,1423,,2013/10/11,3500,,2013/10/11,3695,,2013/10/11,3115,,2013/10/11,7600,,2013/10/11,623,,2013/10/11,4700,,2013/10/11,1008,,2013/10/11,2833,,2013/10/11,3390,,2013/10/11,5880
2013/10/15,641.18,,2013/10/15,6390,,2013/10/15,3920,,2013/10/15,1938,,2013/10/15,1001,,2013/10/15,961,,2013/10/15,4880,,2013/10/15,7240,,2013/10/15,2665,,2013/10/15,1760,,2013/10/15,1559,,2013/10/15,633,,2013/10/15,4835,,2013/10/15,207,,2013/10/15,3080,,2013/10/15,752,,2013/10/15,16740,,2013/10/15,8530,,2013/10/15,1990,,2013/10/15,13040,,2013/10/15,1423,,2013/10/15,3520,,2013/10/15,3740,,2013/10/15,3115,,2013/10/15,7510,,2013/10/15,625,,2013/10/15,4685,,2013/10/15,1030,,2013/10/15,2809,,2013/10/15,3325,,2013/10/15,5880
2013/10/16,640.4,,2013/10/16,6360,,2013/10/16,3905,,2013/10/16,1934,,2013/10/16,1000,,2013/10/16,947,,2013/10/16,4820,,2013/10/16,7400,,2013/10/16,2635,,2013/10/16,1766.7,,2013/10/16,1538,,2013/10/16,630,,2013/10/16,4790,,2013/10/16,209,,2013/10/16,3175,,2013/10/16,749,,2013/10/16,16920,,2013/10/16,8490,,2013/10/16,1983,,2013/10/16,13060,,2013/10/16,1419,,2013/10/16,3450,,2013/10/16,3735,,2013/10/16,3110,,2013/10/16,7520,,2013/10/16,619,,2013/10/16,4705,,2013/10/16,1038,,2013/10/16,2816,,2013/10/16,3330,,2013/10/16,5890
2013/10/17,643.55,,2013/10/17,6340,,2013/10/17,3950,,2013/10/17,1938,,2013/10/17,1022,,2013/10/17,932,,2013/10/17,4880,,2013/10/17,7300,,2013/10/17,2625,,2013/10/17,1783.3,,2013/10/17,1537,,2013/10/17,637,,2013/10/17,4875,,2013/10/17,210,,2013/10/17,3250,,2013/10/17,757,,2013/10/17,16990,,2013/10/17,8500,,2013/10/17,2009,,2013/10/17,13130,,2013/10/17,1435,,2013/10/17,3485,,2013/10/17,3710,,2013/10/17,3120,,2013/10/17,7590,,2013/10/17,621,,2013/10/17,4715,,2013/10/17,1056,,2013/10/17,2833,,2013/10/17,3345,,2013/10/17,5960
2013/10/18,641.52,,2013/10/18,6280,,2013/10/18,3940,,2013/10/18,1930,,2013/10/18,1027,,2013/10/18,941,,2013/10/18,4815,,2013/10/18,7280,,2013/10/18,2610,,2013/10/18,1763.3,,2013/10/18,1553,,2013/10/18,638,,2013/10/18,4895,,2013/10/18,209,,2013/10/18,3195,,2013/10/18,754,,2013/10/18,16740,,2013/10/18,8650,,2013/10/18,1996,,2013/10/18,13160,,2013/10/18,1423,,2013/10/18,3455,,2013/10/18,3695,,2013/10/18,3140,,2013/10/18,7580,,2013/10/18,619,,2013/10/18,4675,,2013/10/18,1058,,2013/10/18,2877,,2013/10/18,3380,,2013/10/18,5890
2013/10/21,644.16,,2013/10/21,6300,,2013/10/21,3950,,2013/10/21,1921,,2013/10/21,1015,,2013/10/21,949,,2013/10/21,4820,,2013/10/21,7480,,2013/10/21,2635,,2013/10/21,1766.7,,2013/10/21,1557,,2013/10/21,635,,2013/10/21,4890,,2013/10/21,209,,2013/10/21,3180,,2013/10/21,754,,2013/10/21,16800,,2013/10/21,8650,,2013/10/21,2000,,2013/10/21,13130,,2013/10/21,1427,,2013/10/21,3480,,2013/10/21,3720,,2013/10/21,3185,,2013/10/21,7620,,2013/10/21,620,,2013/10/21,4695,,2013/10/21,1050,,2013/10/21,2927,,2013/10/21,3425,,2013/10/21,5890
2013/10/22,646.37,,2013/10/22,6370,,2013/10/22,3960,,2013/10/22,1935,,2013/10/22,1016,,2013/10/22,941,,2013/10/22,4830,,2013/10/22,7620,,2013/10/22,2660,,2013/10/22,1766.7,,2013/10/22,1569,,2013/10/22,639,,2013/10/22,4875,,2013/10/22,210,,2013/10/22,3160,,2013/10/22,751,,2013/10/22,16630,,2013/10/22,8690,,2013/10/22,2011,,2013/10/22,13090,,2013/10/22,1432,,2013/10/22,3455,,2013/10/22,3685,,2013/10/22,3205,,2013/10/22,7840,,2013/10/22,619,,2013/10/22,4700,,2013/10/22,1036,,2013/10/22,2931,,2013/10/22,3400,,2013/10/22,5910
2013/10/23,636.86,,2013/10/23,6320,,2013/10/23,3850,,2013/10/23,1896,,2013/10/23,997,,2013/10/23,922,,2013/10/23,4715,,2013/10/23,7600,,2013/10/23,2615,,2013/10/23,1713.3,,2013/10/23,1557,,2013/10/23,629,,2013/10/23,4780,,2013/10/23,207,,2013/10/23,3110,,2013/10/23,738,,2013/10/23,16250,,2013/10/23,8510,,2013/10/23,1988,,2013/10/23,12800,,2013/10/23,1415,,2013/10/23,3400,,2013/10/23,3635,,2013/10/23,3135,,2013/10/23,7580,,2013/10/23,608,,2013/10/23,4655,,2013/10/23,1058,,2013/10/23,2861,,2013/10/23,3325,,2013/10/23,5780
2013/10/24,640.71,,2013/10/24,6330,,2013/10/24,3875,,2013/10/24,1872,,2013/10/24,1006,,2013/10/24,936,,2013/10/24,4785,,2013/10/24,7770,,2013/10/24,2625,,2013/10/24,1746.7,,2013/10/24,1569,,2013/10/24,627,,2013/10/24,4790,,2013/10/24,207,,2013/10/24,3110,,2013/10/24,739,,2013/10/24,16340,,2013/10/24,8670,,2013/10/24,1987,,2013/10/24,12830,,2013/10/24,1411,,2013/10/24,3400,,2013/10/24,3660,,2013/10/24,3130,,2013/10/24,7590,,2013/10/24,659,,2013/10/24,4695,,2013/10/24,1086,,2013/10/24,2842,,2013/10/24,3330,,2013/10/24,5740
2013/10/25,626.64,,2013/10/25,6200,,2013/10/25,3830,,2013/10/25,1851,,2013/10/25,995,,2013/10/25,922,,2013/10/25,4640,,2013/10/25,7400,,2013/10/25,2525,,2013/10/25,1653.3,,2013/10/25,1521,,2013/10/25,615,,2013/10/25,4670,,2013/10/25,204,,2013/10/25,3070,,2013/10/25,726,,2013/10/25,15910,,2013/10/25,8530,,2013/10/25,1957,,2013/10/25,12320,,2013/10/25,1398,,2013/10/25,3330,,2013/10/25,3570,,2013/10/25,3080,,2013/10/25,7760,,2013/10/25,650,,2013/10/25,4600,,2013/10/25,1062,,2013/10/25,2803,,2013/10/25,3240,,2013/10/25,5480
2013/10/28,638.56,,2013/10/28,6310,,2013/10/28,3905,,2013/10/28,1910,,2013/10/28,1009,,2013/10/28,946,,2013/10/28,4740,,2013/10/28,7480,,2013/10/28,2570,,2013/10/28,1703.3,,2013/10/28,1535,,2013/10/28,629,,2013/10/28,4725,,2013/10/28,209,,2013/10/28,3155,,2013/10/28,742,,2013/10/28,16450,,2013/10/28,8760,,2013/10/28,1989,,2013/10/28,12700,,2013/10/28,1418,,2013/10/28,3395,,2013/10/28,3615,,2013/10/28,3150,,2013/10/28,7900,,2013/10/28,673,,2013/10/28,4650,,2013/10/28,1078,,2013/10/28,2835,,2013/10/28,3285,,2013/10/28,5520
2013/10/29,635.62,,2013/10/29,6270,,2013/10/29,3915,,2013/10/29,1892,,2013/10/29,1001,,2013/10/29,947,,2013/10/29,4715,,2013/10/29,7370,,2013/10/29,2580,,2013/10/29,1743.3,,2013/10/29,1555,,2013/10/29,622,,2013/10/29,4725,,2013/10/29,207,,2013/10/29,3150,,2013/10/29,737,,2013/10/29,16160,,2013/10/29,8790,,2013/10/29,1982,,2013/10/29,12710,,2013/10/29,1408,,2013/10/29,3425,,2013/10/29,3620,,2013/10/29,3120,,2013/10/29,7770,,2013/10/29,669,,2013/10/29,4635,,2013/10/29,1086,,2013/10/29,2823,,2013/10/29,3265,,2013/10/29,5480
2013/10/30,641.14,,2013/10/30,6370,,2013/10/30,3965,,2013/10/30,1910,,2013/10/30,1015,,2013/10/30,949,,2013/10/30,4815,,2013/10/30,7520,,2013/10/30,2565,,2013/10/30,1776.7,,2013/10/30,1551,,2013/10/30,629,,2013/10/30,4790,,2013/10/30,209,,2013/10/30,3205,,2013/10/30,747,,2013/10/30,15780,,2013/10/30,8620,,2013/10/30,1994,,2013/10/30,12870,,2013/10/30,1419,,2013/10/30,3550,,2013/10/30,3680,,2013/10/30,3120,,2013/10/30,7880,,2013/10/30,670,,2013/10/30,4670,,2013/10/30,1094,,2013/10/30,2836,,2013/10/30,3305,,2013/10/30,5600
2013/10/31,634.71,,2013/10/31,6360,,2013/10/31,3915,,2013/10/31,1877,,2013/10/31,982,,2013/10/31,985,,2013/10/31,4705,,2013/10/31,7300,,2013/10/31,2545,,2013/10/31,1770,,2013/10/31,1560,,2013/10/31,620,,2013/10/31,4715,,2013/10/31,205,,2013/10/31,3205,,2013/10/31,723,,2013/10/31,15720,,2013/10/31,8510,,2013/10/31,1982,,2013/10/31,12700,,2013/10/31,1400,,2013/10/31,3550,,2013/10/31,3620,,2013/10/31,3090,,2013/10/31,7870,,2013/10/31,685,,2013/10/31,4665,,2013/10/31,1092,,2013/10/31,2797,,2013/10/31,3235,,2013/10/31,5530
2013/11/1,632.21,,2013/11/1,6330,,2013/11/1,3930,,2013/11/1,1668,,2013/11/1,961,,2013/11/1,1046,,2013/11/1,4710,,2013/11/1,7550,,2013/11/1,2515,,2013/11/1,1770,,2013/11/1,1549,,2013/11/1,617,,2013/11/1,4685,,2013/11/1,205,,2013/11/1,3150,,2013/11/1,711,,2013/11/1,15270,,2013/11/1,8340,,2013/11/1,1977,,2013/11/1,12490,,2013/11/1,1390,,2013/11/1,3575,,2013/11/1,3590,,2013/11/1,3080,,2013/11/1,7790,,2013/11/1,683,,2013/11/1,4680,,2013/11/1,1104,,2013/11/1,2782,,2013/11/1,3210,,2013/11/1,5500
2013/11/5,630.19,,2013/11/5,6320,,2013/11/5,3930,,2013/11/5,1669,,2013/11/5,861,,2013/11/5,1025,,2013/11/5,4715,,2013/11/5,7710,,2013/11/5,2505,,2013/11/5,1773.3,,2013/11/5,1548,,2013/11/5,615,,2013/11/5,4690,,2013/11/5,205,,2013/11/5,3145,,2013/11/5,722,,2013/11/5,15130,,2013/11/5,8320,,2013/11/5,1976,,2013/11/5,12490,,2013/11/5,1358,,2013/11/5,3530,,2013/11/5,3590,,2013/11/5,3065,,2013/11/5,7890,,2013/11/5,680,,2013/11/5,4695,,2013/11/5,1110,,2013/11/5,2768,,2013/11/5,3210,,2013/11/5,5630
2013/11/6,633.53,,2013/11/6,6350,,2013/11/6,3930,,2013/11/6,1689,,2013/11/6,885,,2013/11/6,1033,,2013/11/6,4755,,2013/11/6,7550,,2013/11/6,2530,,2013/11/6,1823.3,,2013/11/6,1556,,2013/11/6,618,,2013/11/6,4720,,2013/11/6,206,,2013/11/6,3175,,2013/11/6,729,,2013/11/6,15360,,2013/11/6,8400,,2013/11/6,1977,,2013/11/6,12510,,2013/11/6,1364,,2013/11/6,3505,,2013/11/6,3600,,2013/11/6,3090,,2013/11/6,7950,,2013/11/6,681,,2013/11/6,4695,,2013/11/6,1128,,2013/11/6,2779,,2013/11/6,3225,,2013/11/6,5690
2013/11/7,630.08,,2013/11/7,6270,,2013/11/7,3900,,2013/11/7,1694,,2013/11/7,887,,2013/11/7,1020,,2013/11/7,4675,,2013/11/7,7480,,2013/11/7,2545,,2013/11/7,1830,,2013/11/7,1552,,2013/11/7,616,,2013/11/7,4700,,2013/11/7,205,,2013/11/7,3140,,2013/11/7,724,,2013/11/7,15310,,2013/11/7,8410,,2013/11/7,1968,,2013/11/7,12330,,2013/11/7,1364,,2013/11/7,3480,,2013/11/7,3575,,2013/11/7,3095,,2013/11/7,7840,,2013/11/7,682,,2013/11/7,4705,,2013/11/7,1124,,2013/11/7,2768,,2013/11/7,3210,,2013/11/7,5610
2013/11/8,625.19,,2013/11/8,6200,,2013/11/8,3870,,2013/11/8,1649,,2013/11/8,883,,2013/11/8,994,,2013/11/8,4665,,2013/11/8,7280,,2013/11/8,2560,,2013/11/8,1826.7,,2013/11/8,1549,,2013/11/8,608,,2013/11/8,4675,,2013/11/8,205,,2013/11/8,3105,,2013/11/8,713,,2013/11/8,15390,,2013/11/8,8250,,2013/11/8,1965,,2013/11/8,12150,,2013/11/8,1351,,2013/11/8,3460,,2013/11/8,3525,,2013/11/8,3085,,2013/11/8,7800,,2013/11/8,679,,2013/11/8,4685,,2013/11/8,1150,,2013/11/8,2741,,2013/11/8,3195,,2013/11/8,5590
2013/11/11,633.09,,2013/11/11,6250,,2013/11/11,3935,,2013/11/11,1641,,2013/11/11,897,,2013/11/11,987,,2013/11/11,4720,,2013/11/11,7420,,2013/11/11,2635,,2013/11/11,1893.3,,2013/11/11,1564,,2013/11/11,613,,2013/11/11,4770,,2013/11/11,207,,2013/11/11,3185,,2013/11/11,716,,2013/11/11,15550,,2013/11/11,8350,,2013/11/11,1975,,2013/11/11,12250,,2013/11/11,1367,,2013/11/11,3510,,2013/11/11,3530,,2013/11/11,3100,,2013/11/11,7930,,2013/11/11,688,,2013/11/11,4715,,2013/11/11,1186,,2013/11/11,2724,,2013/11/11,3245,,2013/11/11,5860
2013/11/12,644.02,,2013/11/12,6320,,2013/11/12,4000,,2013/11/12,1700,,2013/11/12,906,,2013/11/12,1000,,2013/11/12,4795,,2013/11/12,7580,,2013/11/12,2665,,2013/11/12,1990,,2013/11/12,1582,,2013/11/12,626,,2013/11/12,4865,,2013/11/12,210,,2013/11/12,3290,,2013/11/12,729,,2013/11/12,15920,,2013/11/12,8490,,2013/11/12,2000,,2013/11/12,12470,,2013/11/12,1390,,2013/11/12,3540,,2013/11/12,3585,,2013/11/12,3145,,2013/11/12,7940,,2013/11/12,703,,2013/11/12,4735,,2013/11/12,1190,,2013/11/12,2799,,2013/11/12,3350,,2013/11/12,5920
2013/11/13,643.12,,2013/11/13,6280,,2013/11/13,4020,,2013/11/13,1746,,2013/11/13,911,,2013/11/13,991,,2013/11/13,4790,,2013/11/13,7510,,2013/11/13,2650,,2013/11/13,1950,,2013/11/13,1576,,2013/11/13,635,,2013/11/13,4945,,2013/11/13,212,,2013/11/13,3240,,2013/11/13,735,,2013/11/13,16000,,2013/11/13,8320,,2013/11/13,1993,,2013/11/13,12510,,2013/11/13,1393,,2013/11/13,3480,,2013/11/13,3610,,2013/11/13,3140,,2013/11/13,7910,,2013/11/13,688,,2013/11/13,4735,,2013/11/13,1186,,2013/11/13,2809,,2013/11/13,3340,,2013/11/13,5770
2013/11/14,651.21,,2013/11/14,6310,,2013/11/14,4055,,2013/11/14,1786,,2013/11/14,921,,2013/11/14,1031,,2013/11/14,4830,,2013/11/14,7600,,2013/11/14,2650,,2013/11/14,2053.3,,2013/11/14,1577,,2013/11/14,645,,2013/11/14,4935,,2013/11/14,214,,2013/11/14,3280,,2013/11/14,754,,2013/11/14,16510,,2013/11/14,8480,,2013/11/14,1998,,2013/11/14,12600,,2013/11/14,1393,,2013/11/14,3560,,2013/11/14,3675,,2013/11/14,3170,,2013/11/14,7950,,2013/11/14,697,,2013/11/14,4745,,2013/11/14,1204,,2013/11/14,2852,,2013/11/14,3430,,2013/11/14,5820
2013/11/15,662.02,,2013/11/15,6370,,2013/11/15,4090,,2013/11/15,1846,,2013/11/15,924,,2013/11/15,1060,,2013/11/15,4875,,2013/11/15,7740,,2013/11/15,2635,,2013/11/15,2066.7,,2013/11/15,1602,,2013/11/15,658,,2013/11/15,5080,,2013/11/15,218,,2013/11/15,3380,,2013/11/15,790,,2013/11/15,16730,,2013/11/15,8620,,2013/11/15,2010,,2013/11/15,12770,,2013/11/15,1408,,2013/11/15,3675,,2013/11/15,3750,,2013/11/15,3230,,2013/11/15,8070,,2013/11/15,701,,2013/11/15,4800,,2013/11/15,1226,,2013/11/15,2917,,2013/11/15,3495,,2013/11/15,5940
2013/11/18,664.28,,2013/11/18,6350,,2013/11/18,4140,,2013/11/18,1862,,2013/11/18,927,,2013/11/18,1049,,2013/11/18,4870,,2013/11/18,7770,,2013/11/18,2655,,2013/11/18,2020,,2013/11/18,1605,,2013/11/18,664,,2013/11/18,5170,,2013/11/18,220,,2013/11/18,3460,,2013/11/18,797,,2013/11/18,16640,,2013/11/18,8510,,2013/11/18,2015,,2013/11/18,12780,,2013/11/18,1413,,2013/11/18,3705,,2013/11/18,3765,,2013/11/18,3230,,2013/11/18,8110,,2013/11/18,700,,2013/11/18,4815,,2013/11/18,1242,,2013/11/18,2890,,2013/11/18,3495,,2013/11/18,5950
2013/11/19,660.62,,2013/11/19,6300,,2013/11/19,4095,,2013/11/19,1886,,2013/11/19,926,,2013/11/19,1042,,2013/11/19,4865,,2013/11/19,7720,,2013/11/19,2625,,2013/11/19,2026.7,,2013/11/19,1607,,2013/11/19,658,,2013/11/19,5080,,2013/11/19,219,,2013/11/19,3430,,2013/11/19,798,,2013/11/19,16850,,2013/11/19,8420,,2013/11/19,2007,,2013/11/19,12580,,2013/11/19,1409,,2013/11/19,3700,,2013/11/19,3765,,2013/11/19,3235,,2013/11/19,8070,,2013/11/19,695,,2013/11/19,4800,,2013/11/19,1230,,2013/11/19,2876,,2013/11/19,3480,,2013/11/19,5860
