TPXC30 Index,,,7203 JT Equity,,,7267 JT Equity,,,6758 JT Equity,,,7201 JT Equity,,,6752 JT Equity,,,6902 JT Equity,,,9984 JT Equity,,,9432 JT Equity,,,9433 JT Equity,,,9437 JT Equity,,,8306 JT Equity,,,8316 JT Equity,,,8411 JT Equity,,,8766 JT Equity,,,8604 JT Equity,,,6954 JT Equity,,,9020 JT Equity,,,8058 JT Equity,,,9022 JT Equity,,,8031 JT Equity,,,2914 JT Equity,,,3382 JT Equity,,,7751 JT Equity,,,6981 JT Equity,,,6501 JT Equity,,,4502 JT Equity,,,4503 JT Equity,,,8802 JT Equity,,,8801 JT Equity,,,4063 JT Equity,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
2013/11/20,657.7,,2013/11/20,6290,,2013/11/20,4100,,2013/11/20,1868,,2013/11/20,923,,2013/11/20,1046,,2013/11/20,4840,,2013/11/20,7730,,2013/11/20,2610,,2013/11/20,2016.7,,2013/11/20,1604,,2013/11/20,653,,2013/11/20,5030,,2013/11/20,216,,2013/11/20,3370,,2013/11/20,795,,2013/11/20,16680,,2013/11/20,8390,,2013/11/20,2008,,2013/11/20,12470,,2013/11/20,1400,,2013/11/20,3705,,2013/11/20,3715,,2013/11/20,3215,,2013/11/20,8240,,2013/11/20,695,,2013/11/20,4830,,2013/11/20,1224,,2013/11/20,2852,,2013/11/20,3440,,2013/11/20,5820
2013/11/21,664.83,,2013/11/21,6280,,2013/11/21,4240,,2013/11/21,1894,,2013/11/21,928,,2013/11/21,1070,,2013/11/21,4900,,2013/11/21,7970,,2013/11/21,2605,,2013/11/21,2143.3,,2013/11/21,1608,,2013/11/21,661,,2013/11/21,5100,,2013/11/21,216,,2013/11/21,3430,,2013/11/21,808,,2013/11/21,16980,,2013/11/21,8460,,2013/11/21,2016,,2013/11/21,12550,,2013/11/21,1411,,2013/11/21,3720,,2013/11/21,3770,,2013/11/21,3250,,2013/11/21,8400,,2013/11/21,701,,2013/11/21,4880,,2013/11/21,1216,,2013/11/21,2837,,2013/11/21,3405,,2013/11/21,5810
2013/11/22,666.61,,2013/11/22,6340,,2013/11/22,4295,,2013/11/22,1875,,2013/11/22,928,,2013/11/22,1095,,2013/11/22,4900,,2013/11/22,8150,,2013/11/22,2575,,2013/11/22,2136.7,,2013/11/22,1623,,2013/11/22,656,,2013/11/22,5170,,2013/11/22,215,,2013/11/22,3395,,2013/11/22,815,,2013/11/22,16930,,2013/11/22,8420,,2013/11/22,2016,,2013/11/22,12550,,2013/11/22,1410,,2013/11/22,3625,,2013/11/22,3740,,2013/11/22,3285,,2013/11/22,8520,,2013/11/22,724,,2013/11/22,4860,,2013/11/22,1190,,2013/11/22,2849,,2013/11/22,3400,,2013/11/22,5900
2013/11/25,673.49,,2013/11/25,6430,,2013/11/25,4365,,2013/11/25,1881,,2013/11/25,930,,2013/11/25,1134,,2013/11/25,4960,,2013/11/25,8590,,2013/11/25,2570,,2013/11/25,2153.3,,2013/11/25,1620,,2013/11/25,660,,2013/11/25,5170,,2013/11/25,216,,2013/11/25,3440,,2013/11/25,819,,2013/11/25,17320,,2013/11/25,8400,,2013/11/25,2030,,2013/11/25,12590,,2013/11/25,1416,,2013/11/25,3565,,2013/11/25,3770,,2013/11/25,3325,,2013/11/25,8610,,2013/11/25,731,,2013/11/25,4920,,2013/11/25,1202,,2013/11/25,2843,,2013/11/25,3400,,2013/11/25,5990
2013/11/26,668.82,,2013/11/26,6350,,2013/11/26,4280,,2013/11/26,1848,,2013/11/26,927,,2013/11/26,1128,,2013/11/26,4985,,2013/11/26,8550,,2013/11/26,2575,,2013/11/26,2106.7,,2013/11/26,1623,,2013/11/26,663,,2013/11/26,5160,,2013/11/26,217,,2013/11/26,3435,,2013/11/26,814,,2013/11/26,16990,,2013/11/26,8470,,2013/11/26,2019,,2013/11/26,12530,,2013/11/26,1407,,2013/11/26,3520,,2013/11/26,3725,,2013/11/26,3310,,2013/11/26,8630,,2013/11/26,727,,2013/11/26,4890,,2013/11/26,1192,,2013/11/26,2797,,2013/11/26,3400,,2013/11/26,5890
2013/11/27,665.41,,2013/11/27,6320,,2013/11/27,4240,,2013/11/27,1869,,2013/11/27,927,,2013/11/27,1167,,2013/11/27,5000,,2013/11/27,8310,,2013/11/27,2545,,2013/11/27,2080,,2013/11/27,1616,,2013/11/27,654,,2013/11/27,5140,,2013/11/27,216,,2013/11/27,3405,,2013/11/27,808,,2013/11/27,16970,,2013/11/27,8480,,2013/11/27,1987,,2013/11/27,12350,,2013/11/27,1396,,2013/11/27,3470,,2013/11/27,3715,,2013/11/27,3335,,2013/11/27,8730,,2013/11/27,728,,2013/11/27,4875,,2013/11/27,1202,,2013/11/27,2824,,2013/11/27,3450,,2013/11/27,5850
2013/11/28,673.62,,2013/11/28,6390,,2013/11/28,4305,,2013/11/28,1865,,2013/11/28,939,,2013/11/28,1200,,2013/11/28,5120,,2013/11/28,8430,,2013/11/28,2580,,2013/11/28,2186.7,,2013/11/28,1632,,2013/11/28,659,,2013/11/28,5140,,2013/11/28,217,,2013/11/28,3425,,2013/11/28,817,,2013/11/28,17260,,2013/11/28,8410,,2013/11/28,1989,,2013/11/28,12350,,2013/11/28,1411,,2013/11/28,3480,,2013/11/28,3755,,2013/11/28,3380,,2013/11/28,8750,,2013/11/28,761,,2013/11/28,4950,,2013/11/28,1216,,2013/11/28,2857,,2013/11/28,3510,,2013/11/28,5900
2013/11/29,671.14,,2013/11/29,6380,,2013/11/29,4330,,2013/11/29,1867,,2013/11/29,936,,2013/11/29,1175,,2013/11/29,5130,,2013/11/29,8290,,2013/11/29,2570,,2013/11/29,2143.3,,2013/11/29,1650,,2013/11/29,659,,2013/11/29,5070,,2013/11/29,215,,2013/11/29,3400,,2013/11/29,811,,2013/11/29,17240,,2013/11/29,8390,,2013/11/29,2015,,2013/11/29,12320,,2013/11/29,1419,,2013/11/29,3460,,2013/11/29,3770,,2013/11/29,3410,,2013/11/29,8810,,2013/11/29,755,,2013/11/29,4975,,2013/11/29,1214,,2013/11/29,2844,,2013/11/29,3475,,2013/11/29,5920
2013/12/2,670.54,,2013/12/2,6370,,2013/12/2,4305,,2013/12/2,1898,,2013/12/2,933,,2013/12/2,1166,,2013/12/2,5120,,2013/12/2,8280,,2013/12/2,2590,,2013/12/2,2130,,2013/12/2,1659,,2013/12/2,661,,2013/12/2,5090,,2013/12/2,216,,2013/12/2,3430,,2013/12/2,807,,2013/12/2,17170,,2013/12/2,8310,,2013/12/2,2005,,2013/12/2,12260,,2013/12/2,1408,,2013/12/2,3460,,2013/12/2,3765,,2013/12/2,3370,,2013/12/2,8690,,2013/12/2,758,,2013/12/2,5030,,2013/12/2,1222,,2013/12/2,2833,,2013/12/2,3440,,2013/12/2,5870
2013/12/3,672.93,,2013/12/3,6390,,2013/12/3,4300,,2013/12/3,1910,,2013/12/3,928,,2013/12/3,1186,,2013/12/3,5120,,2013/12/3,8640,,2013/12/3,2580,,2013/12/3,2130,,2013/12/3,1664,,2013/12/3,663,,2013/12/3,5090,,2013/12/3,215,,2013/12/3,3475,,2013/12/3,809,,2013/12/3,17140,,2013/12/3,8250,,2013/12/3,2001,,2013/12/3,12440,,2013/12/3,1400,,2013/12/3,3465,,2013/12/3,3765,,2013/12/3,3390,,2013/12/3,8790,,2013/12/3,757,,2013/12/3,5100,,2013/12/3,1234,,2013/12/3,2817,,2013/12/3,3400,,2013/12/3,5890
